Region,Year,Quarter,System duration (hrs),daily_spread_avg,Total arbitrage profit ($/MW/yr),Cycles (full cycle equivalents),Avg sell price ($/MWh),Avg purchase price ($/MWh),Cost €/MW
NSW1,2024,Q1,1,572.77,372134.0,890.47,146.0,39.45,0
NSW1,2024,Q2,1,701.94,819333.16,917.11,297.86,70.79,0
NSW1,2024,Q3,1,560.56,438016.44,865.09,178.6,49.42,0
NSW1,2024,Q4,1,1114.62,546858.56,814.61,225.17,54.48,0
NSW1,2025,Q1,1,479.4,237433.88,743.17,121.52,39.56,0
NSW1,2025,Q2,1,927.3,437123.44,687.85,244.34,81.19,0
NSW1,2025,Q3,1,232.1,156970.4,783.81,104.44,51.66,0
NSW1,2025,Q4,1,476.99,242932.56,888.42,99.6,29.68,0
NSW1,2026,Q1,1,316.53,150718.52,678.6,102.95,45.05,0
NSW1,2026,Q2,1,103.22,43431.52,444.14,80.42,53.18,0
NSW1,2024,Q1,2,366.1,386601.68,472.23,143.6,39.2,0
NSW1,2024,Q2,2,556.97,857246.52,485.4,293.2,68.82,0
NSW1,2024,Q3,2,455.55,535114.44,462.56,192.68,45.67,0
NSW1,2024,Q4,2,755.08,670735.2,431.21,247.31,50.23,0
NSW1,2025,Q1,2,319.19,289099.2,402.2,130.79,38.9,0
NSW1,2025,Q2,2,682.82,592808.64,382.35,266.73,69.28,0
NSW1,2025,Q3,2,209.78,227064.72,420.9,118.21,48.24,0
NSW1,2025,Q4,2,319.97,296033.08,455.98,109.17,26.62,0
NSW1,2026,Q1,2,206.91,182404.96,376.43,106.19,43.33,0
NSW1,2026,Q2,2,94.42,62462.36,245.58,86.26,51.74,0
NSW1,2024,Q1,3,275.38,391006.92,320.16,142.92,39.09,0
NSW1,2024,Q2,3,479.95,869090.36,329.09,291.92,68.26,0
NSW1,2024,Q3,3,394.89,576530.76,315.64,199.21,44.65,0
NSW1,2024,Q4,3,589.43,727268.8,293.19,256.26,47.07,0
NSW1,2025,Q1,3,255.37,325577.84,278.35,136.69,37.26,0
NSW1,2025,Q2,3,578.95,710474.76,272.3,284.98,64.17,0
NSW1,2025,Q3,3,193.49,278561.92,294.05,127.05,45.7,0
NSW1,2025,Q4,3,261.04,338884.4,306.39,116.73,23.33,0
NSW1,2026,Q1,3,165.0,206659.72,266.24,108.81,41.92,0
NSW1,2026,Q2,3,88.36,78038.92,173.98,89.56,49.57,0
NSW1,2024,Q1,4,224.69,393428.48,241.52,142.82,38.96,0
NSW1,2024,Q2,4,433.85,875666.96,248.53,291.67,67.88,0
NSW1,2024,Q3,4,341.76,604536.2,238.11,204.29,43.33,0
NSW1,2024,Q4,4,478.83,763543.68,224.87,259.48,44.9,0
NSW1,2025,Q1,4,218.33,353593.72,213.72,140.92,35.64,0
NSW1,2025,Q2,4,491.46,774084.12,212.58,290.81,60.06,0
NSW1,2025,Q3,4,179.91,319467.4,227.71,133.57,43.59,0
NSW1,2025,Q4,4,227.87,376985.6,232.19,123.18,20.62,0
NSW1,2026,Q1,4,141.45,226347.68,206.12,111.19,40.43,0
NSW1,2026,Q2,4,83.68,91619.28,135.69,92.34,47.63,0
NSW1,2024,Q1,5,191.26,395000.48,193.56,142.87,38.79,0
NSW1,2024,Q2,5,400.98,880359.8,199.75,291.56,67.64,0
NSW1,2024,Q3,5,301.09,626817.24,192.71,207.05,42.2,0
NSW1,2024,Q4,5,407.07,792679.24,183.4,261.3,42.93,0
NSW1,2025,Q1,5,192.85,376495.44,173.79,144.25,34.13,0
NSW1,2025,Q2,5,420.36,809943.76,175.65,291.96,58.33,0
NSW1,2025,Q3,5,168.04,351900.72,185.77,138.68,41.77,0
NSW1,2025,Q4,5,205.55,410931.92,187.37,128.71,18.09,0
NSW1,2026,Q1,5,125.5,242666.72,170.88,112.4,39.33,0
NSW1,2026,Q2,5,79.51,103562.6,111.23,94.79,45.82,0
NSW1,2024,Q1,6,166.93,396153.36,162.71,142.35,38.86,0
NSW1,2024,Q2,6,360.11,883921.6,167.32,291.17,67.5,0
NSW1,2024,Q3,6,268.46,644299.04,161.59,209.5,41.2,0
NSW1,2024,Q4,6,356.1,815590.16,155.46,262.29,41.51,0
NSW1,2025,Q1,6,173.68,394715.88,146.96,146.5,32.86,0
NSW1,2025,Q2,6,367.31,833511.04,149.87,291.63,56.91,0
NSW1,2025,Q3,6,157.02,375905.32,157.78,141.89,40.49,0
NSW1,2025,Q4,6,188.74,440704.72,158.19,133.1,16.17,0
NSW1,2026,Q1,6,113.43,255608.28,146.8,112.92,38.35,0
NSW1,2026,Q2,6,75.57,113881.76,95.03,96.32,44.07,0
NSW1,2024,Q1,7,147.94,397106.0,139.67,142.38,38.79,0
NSW1,2024,Q2,7,320.25,886839.04,143.71,291.2,67.27,0
NSW1,2024,Q3,7,242.39,657671.2,140.63,209.91,40.74,0
NSW1,2024,Q4,7,317.08,833114.6,135.24,262.71,40.57,0
NSW1,2025,Q1,7,158.15,408262.16,127.7,147.99,32.12,0
NSW1,2025,Q2,7,326.44,849331.88,132.16,288.83,56.34,0
NSW1,2025,Q3,7,146.65,393060.2,136.86,144.0,39.36,0
NSW1,2025,Q4,7,174.95,466069.48,137.78,136.29,14.7,0
NSW1,2026,Q1,7,103.51,265324.12,128.48,113.22,37.49,0
NSW1,2026,Q2,7,71.69,122421.56,83.87,97.39,42.99,0
NSW1,2024,Q1,8,132.55,397928.84,122.14,142.55,38.7,0
NSW1,2024,Q2,8,288.02,889440.76,125.85,291.49,67.09,0
NSW1,2024,Q3,8,220.31,666446.6,124.51,209.91,40.51,0
NSW1,2024,Q4,8,285.6,846298.24,120.23,262.32,40.23,0
