country,year,hours,daily_spread_avg,total_arbitrage_profit,cycles,avg_sell_price,avg_buy_price,Cost €/MW
Poland,2019,1,21.48,4200.47,322.5,64.37,-41.14,1550000
Poland,2020,1,21.91,5007.98,367.7,57.98,-35.53,1550000
Poland,2021,1,50.67,13119.76,407.2,117.76,-68.52,1550000
Poland,2022,1,143.11,47302.5,522.1,247.22,-125.42,1550000
Poland,2023,1,69.3,20191.6,510.7,135.96,-77.22,1550000
Poland,2024,1,120.24,44284.62,662.0,131.19,-51.48,1550000
Poland,2019,2,20.41,7633.66,300.2,64.37,-41.39,1732000
Poland,2020,2,20.66,8970.98,336.6,58.04,-35.82,1732000
Poland,2021,2,47.6,23502.4,371.1,117.07,-68.41,1732000
Poland,2022,2,134.86,84827.25,475.9,247.09,-126.5,1732000
Poland,2023,2,66.03,36643.47,452.6,141.12,-80.6,1732000
Poland,2024,2,111.36,78666.97,548.6,144.57,-58.35,1732000
Poland,2019,3,19.55,10558.46,283.77,64.26,-41.56,1891000
Poland,2020,3,19.59,12213.03,313.23,57.98,-36.05,1891000
Poland,2021,3,44.74,31645.96,338.33,116.95,-68.72,1891000
Poland,2022,3,126.55,113919.18,441.2,244.24,-126.68,1891000
Poland,2023,3,62.84,49784.5,411.43,141.72,-81.21,1891000
Poland,2024,3,102.96,104665.34,489.67,146.82,-60.52,1891000
Poland,2019,4,18.76,13003.37,268.9,64.26,-41.81,2039000
Poland,2020,4,18.66,14864.67,292.45,57.99,-36.29,2039000
Poland,2021,4,42.25,38241.86,308.6,116.98,-68.91,2039000
Poland,2022,4,118.63,135878.58,402.65,242.2,-126.42,2039000
Poland,2023,4,59.69,60011.47,372.25,141.69,-81.22,2039000
Poland,2024,4,94.64,122634.16,439.75,145.87,-60.99,2039000
Poland,2019,5,18.02,14939.99,251.8,64.33,-42.05,2180000
Poland,2020,5,17.75,16871.97,271.5,58.1,-36.61,2180000
Poland,2021,5,39.96,43435.64,277.8,117.5,-69.11,2180000
Poland,2022,5,110.78,150803.22,363.44,241.06,-126.63,2180000
Poland,2023,5,56.53,67387.49,333.96,141.42,-80.97,2180000
Poland,2024,5,87.33,134377.37,394.68,144.55,-61.24,2180000
Poland,2019,6,17.23,16398.83,231.13,64.45,-42.19,2315000
Poland,2020,6,16.87,18343.99,247.2,58.34,-36.85,2315000
Poland,2021,6,37.73,47555.51,249.63,118.87,-69.84,2315000
Poland,2022,6,102.83,160765.77,324.77,240.01,-126.2,2315000
Poland,2023,6,53.36,72664.05,297.83,141.5,-80.8,2315000
Poland,2024,6,80.61,141522.11,349.7,143.91,-61.26,2315000
Poland,2019,7,16.36,17527.43,208.86,64.67,-42.25,2447000
Poland,2020,7,15.92,19490.7,224.61,58.6,-37.05,2447000
Poland,2021,7,35.5,50968.13,225.94,120.15,-70.5,2447000
Poland,2022,7,95.39,168082.35,288.74,239.49,-125.28,2447000
Poland,2023,7,50.04,76569.65,264.57,141.59,-80.34,2447000
Poland,2024,7,74.23,146094.71,310.86,143.63,-61.29,2447000
Poland,2019,8,15.41,18483.65,189.4,64.9,-42.28,2575000
Poland,2020,8,14.93,20417.59,203.95,58.82,-37.14,2575000
Poland,2021,8,33.36,53882.77,205.52,121.27,-70.97,2575000
Poland,2022,8,88.51,174022.27,259.68,238.86,-124.31,2575000
Poland,2023,8,46.66,79747.57,237.1,141.81,-79.98,2575000
